tweet_id,Gabe,Guanyi,Mom,Sum,tweet_text,user_description
21,0,0,0,0,"RT {{MENTION}}: Web 3.0 was clearly rushed, there's so many bugs. All we needed were higher quality cat videos and expanded pronoun manage…","Infosec professional by day. Photographer, web designer, skeptic, & gamer by night! I am a bearded video game collector and now Twitch Affiliate! (he/him)"
22,0,0,0,0,Mammoth Ivory Carved: {{URL}} via {{MENTION}},"El Cid Gallery is an art gallery which includes both antiques and modern design; Carvings, Glass 
Crystals and Modern Art Work.

{{URL}}"
23,1,1,1,3,"You can buy this wonderful, yet exquisite work of Crane and Deer  on a wooden plank carefully sculpted with original mammoth ivory.

New Year Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #NewYearSale #HolidayShopping {{URL}}",I love Art especially Carved legal ivory
24,0,0,0,0,{{MENTION}} being in a relationship. 😂,"Programmer, reader, philosopher, woodworker, beer brewer, armchair economist, classic liberal – I like to explore and learn new things."
25,0,0,0,0,"Report shows poached ivory goes to Asia, not the U.S #ivoryboondoggle #ctbudget #cpolitics {{URL}} {{URL}}","Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture."
26,1,1,1,3,"You can buy this splendid and graceful Carving of Seven Lucky Gods on a wooden plank by authentic Mammoth Ivory.

New Year Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #NewYearSale #HolidayShopping {{URL}}",I love Art especially Carved legal ivory
27,0,0,0,0,Vintage North American Hunting Club Eagle Zipper Pull Key Fob Key Chain {{URL}} {{URL}},"Etsy Shop with great vintage goodies for your bar, barbershop, tattoo parlor, etc."
28,1,1,1,3,"As one of the four creatures of the world’s directions, the Dragon stands for new beginnings. The Dragon also has the power to release water to parched lands, and which in turn stands for abundance and relief. 

{{URL}}

#dragon #newbeginnings #ivory #mammothivory {{URL}}",I love Art especially Carved legal ivory
29,0,0,0,0,"Joyous high quality mammoth ivory carving of standing Buddha on a teak wood
{{URL}} {{URL}}","El Cid Gallery is an art gallery which includes both antiques and modern design; Carvings, Glass 
Crystals and Modern Art Work.

{{URL}}"
30,0,0,0,0,trying to hydrate after a long weekend of debotchery. some food is helping...more fluid...please,
31,1,1,0,2,Buddha carving from ivory mammoth {{URL}},
32,0,0,0,0,"14th century French #ivory box, banned if hb5578 passes in CT. #gothic #themet #gunrights {{MENTION}}  #veto {{URL}}","Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture."
33,0,0,0,0,"Polychrome &amp; gilded Delftware Fountain with lid and spout att. Jacobus Halder, De Grieksche A in 1766

Description

This polychrome fountain with lid, brass and original ivory spout, is decorated with prince William… {{URL}}",Cloud Engineer & Delftware enthusiast
34,1,1,1,3,This is a beautiful japanes ivory Mei-ji. Enjoy it! {{URL}},"La tienda data desde 1945, situada en el barrio porteño de San Telmo. Nos dedicamos a la compra/venta de antiguedades."
35,0,0,0,0,"Free &amp; easy for most= ""KINDNESS"" {{URL}}","We are 3rd generation Brocante-Antique Import Dealers. Specializing in French, Dutch and fine items for the Ladies. We offer a variety Decor & Design services."
36,0,0,0,0,Thank you to those who have been in touch regarding last night's announcement. We are currently seeking further guidance as to if and how auctions are allowed to proceed and hope to have a clearer understanding by Tuesday. We will update you accordingly.,"Fine Art auction house with specialist departments including Silver, Jewellery, Paintings, Furniture, African Art, Militaria, Ceramics, Design and Asian Art"
37,1,1,1,3,"Look at this mighty yet robust creation of Japanese Samurai Figurines precisely sculpted with original mammoth ivory.

New Year Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #NewYearSale #HolidayShopping {{URL}}",I love Art especially Carved legal ivory
38,1,1,1,3,"Amazing Mammoth Ivory Carving Of Birds On A Flower

This exquisite sculpture is of a bird perking a leaf. 

{{URL}}

#mammoth #mammothivory #ivory #mammothivorytusk
#bird #birdsivorycarvingivory #passion #art #beautiful #nature #legalmammothivory #masterpiece {{URL}}",I love Art especially Carved legal ivory
39,0,0,0,0,"Vintage Complete Works of William Shakespeare 1940's, with Tem by IvoryAnnHome  {{URL}} via {{MENTION}}",We find treasured items that offer nostalgia and renew a genuine connection; to inspire others and create a wonderful balance between tradition and modernity.
40,1,1,1,3,Small ivory card case #jeremygreenantiques #cardcase #ivory {{URL}},"We purchase a wide range of antiques & collectables. Free valuations, competitive prices, House clearances and probate service"
41,1,1,1,3,"Our #Silver &amp; Objects of Vertu sale on 16th July features some interesting pieces including this #Mokume tea caddy by #TiffanyandCo, #EdwardMoore period, decorated with a carved ivory okimono finial of playful #Japanese figures. Estimated at £1,000-1,500. {{URL}} {{URL}}","Fine Art auction house with specialist departments including Silver, Jewellery, Paintings, Furniture, African Art, Militaria, Ceramics, Design and Asian Art"
42,1,1,0,2,"William Grimaldi (1751-1830), Portrait of  a gentleman in a blue coat and stock and a women in a gold dress with a lace jabot, holding a child,  portrait miniatures, a pair, watercolour on ivory, inscribed paper verso ""W Grimaldi AR engraver {{URL}}",The Quality Auction House operated by Killens and serving North & Central Somerset. Please contact 01749 840770 and {{EMAIL}} for info
43,0,0,0,0,"{{MENTION}} so wait... her daughter was less than a year old when ""The mother-daughter duo first launched Pixie’s Bows in 2011""?",
44,1,1,1,3,"You can buy this beautiful work of The Dragon And Phoenix on a wooden plank carefully sculpted with original mammoth ivory.

Christmas Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #ChristmasSale #HolidayShopping {{URL}}",I love Art especially Carved legal ivory
45,0,0,0,0,"#Painting representing  a #Moroccan scene, signed PSNVERS
#vintage #modern #vintageshop #deco #decoration #ElRastro #Madrid #style #instadecor #instaantiques #interior #design #inspiration #interiors #homedecor #antiquesdealersofinstagram #antiqueshop #art {{URL}}","EL TRANSFORMISTA, founded in 1991, it´s specializes in #decorativearts from the period of #30s until #70s, #antiques and unique objects"
46,1,1,1,3,"RT {{MENTION}}: #Halloween decor. Described as an ""Ivory memento mori, South German,17th c. the articulated ivory skeleton in an eboni…","Antique dealer. 903 Christchurch Rd.
BSc Hons student {{MENTION}}. Gambler. Immortal.

insta: jonirvine_antiques/facebook: {{MENTION}}"
47,1,1,1,3,"#letstrove Vintage French Ivory Dining Set all with beautiful shell and leaf carvings- a real statement piece for any dining room, which seats up to 10 people when fully extended!
{{URL}} 
#vintagediningset #frenchdiningset #frenchhome #frenchinteriors {{URL}}","Online Furniture Store providing European, French, Antique and Shabby Chic items lovingly enhanced or restored to cherish in your home for years to come"
48,0,0,0,0,"RT {{MENTION}}: The company of a #Libra is refreshing, fulfilling, often very enlightening &amp; highly sought after.",Specialized School Psychologist at the University of Montana in training
49,1,1,1,3,{{URL}} - Photoshoot Mammoth Ivory Carvings,"Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands"
50,0,0,0,0,"{{MENTION}} how do I close a bank account in India, when I'm in Singapore, can I give the account closing request to a Singapore branch?",Co-founder {{MENTION}}. Opinions are my own.
51,0,0,0,0,"{{MENTION}} At first I was surprised by {{MENTION}}’s support for Rogan , but then I realized that he is exactly the type of person who would 1) Take advice from a meathead. 2) Take any opportunity to promote his horrible tequila.",Dad. Husband. Social bro for Michigan's largest creator of wellness prods and Bluetooth audio devices. Thoughts are my own. Tweets are normally much funnier.
52,0,0,0,0,"USA loaded with ""ivory traffickers"" is oft-quoted.  2014 regulations made 99.9% of older previously legal ivory in U.S. suddenly illegal!","Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture."
53,0,0,0,0,Remember when lice was the worst thing kids could bring home? I miss those days. {{URL}},
54,0,0,0,0,"Early XX century #sculpture by #Moreau.
#vintage #modern #vintageshop #deco #decoration #ElRastro #Madrid #style #instadecor #instaantiques #interior #design #inspiration #interiors #homedecor #antiquesdealersofinstagram #antiqueshop #art {{URL}}","EL TRANSFORMISTA, founded in 1991, it´s specializes in #decorativearts from the period of #30s until #70s, #antiques and unique objects"
55,1,1,1,3,"The weird, the wonderful and the macabre. Our 20/21 May auction, including the contents of Astley Townhouse, includes some of the most unusual and bizarre items we have ever seen. Featured - A Meiji period carved ivory human skull, snake and skeleton netsuke £800-1,200 {{URL}}","Fine Art & Antique Auctioneers & Valuers. Our next auction, Back to the Future 17 and 18 February. See website for details"
56,0,0,0,0,"Vintage Harley Davidson Indian Collectible Pin Hog Chasing Motorcycle Hawg ""Running with the Hogs"" {{URL}} {{URL}}",
57,0,0,0,0,Excited to share the latest addition to my #etsy shop: Vintage Floral Lidded Vegetable Bowl Multicolored Flowers Covered Serving Dish W H Grindley Co Windsor Ivory Series England PanchosPorch {{URL}} #green #panchosporch #collectiblevtg #vintagehomedeco {{URL}},
58,1,1,1,3,"Our Christmas Sale includes Objects, Jewellery, SIlver and Alcohol - starts at 9:30am on Wednesday 8th December.

Lot No 3 - Sixteen Indian Mughal oval portrait miniatures hand painted onto ivory of temples and figures,

View the catalogue here: {{URL}}

#mughal {{URL}}",Eastbourne Auctions are the Souths Leading Auctioneers & Valuers with a passion for Collectable Items sold around the world
59,1,1,1,3,"You can buy this antique carving of Lions And Rhino handcrafted statue produced using with the finest Mammoth Ivory.

Christmas Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #ChristmasSale #HolidayShopping {{URL}}",I love Art especially Carved legal ivory
60,1,1,1,3,"You can buy this wonderful, yet unique work of Two Squirrels Playing with each other.

Christmas Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #IvoryAndArt #christmassale #HolidayShopping",I love Art especially Carved legal ivory
61,0,0,0,0,"RT {{MENTION}}: For most of us, our mother is our first teacher. In my own case, it was my mother who first revealed to me the power of comp…",Pridictably unpredictable.
62,0,0,0,0,{{MENTION}} These days $500k is just friends and family. Still have many millions to go :),"Food, design, technology. Agriculturalist dreamer, everyday coder. Currently {{MENTION}}"
63,0,0,0,0,"RT {{MENTION}}: Ingersoll Rand 261 3/4"" Super Duty Impact Wrench . Almost New. Used One Time {{URL}} {{URL}}",
64,0,0,0,0,"Caveat: I take my phone to bed because I'm not a perfectly optimized person. But I plug it in, put it down, and pick up a physical book right away.","Human potential busy body: {{MENTION}},  {{MENTION}}, {{MENTION}}. For personal growth, follow my Better Humans Daily newsletter."
65,0,0,0,0,"RT {{MENTION}}: We should have public snow removal from sidewalks.

Currently, we are placing undue burdens on pedestrians, especially t…",a surfer / teacher / father in bk
66,0,0,0,0,"So far I have seen real fighters on border to protect India... Now we have seen many real fighters inside India. Big salute to these fighters like Doctors, nurse, police, sweepers, media... This is called real INDIA. Thanks to all 🙏🙏",
67,1,1,1,3,The Kendall Infinity Cowl in Ivory  {{URL}},"A carefully curated, limited collection of authentic vintage goods and new, hand-made personal accessories. ❤️ Everything Has a Story."
68,0,0,0,0,My son just told me that Maui ate his dinosaurs and coffee for breakfast. Three is a magical age.,"don't hate, appreciate"
69,1,1,1,3,"What A beautiful year it has been! We can only say thanks to all our customers!!
Wishing you all a great evening with family and friends, and that 2020 may bring you good health and joy!
#IvoryAndArt #IvoryCarving #MammothIvory #legalivory #CarveIvory #netsuke #mammothIvoryTusk {{URL}}",I love Art especially Carved legal ivory
70,0,0,0,0,"{{MENTION}} Just show up one time like ""sup""? Might get them to take you off the list",Life is a mystery. Everyone must stand alone. We are young. Love is a battlefield.
71,0,0,0,0,"If buffalo was endangered would be ban moccasins?  No on HB5578, #IVORY boondoggle {{MENTION}} {{MENTION}} {{URL}}","Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture."
72,0,0,0,0,{{MENTION}} Had this exact discussion yesterday with my wife while driving to Madison on 94.,
73,0,0,0,0,Drinking a Bourbon County Brand Fourteen Stout (2021) by {{MENTION}} {{MENTION}} - The Mothership — {{URL}},
74,0,0,1,1,"I am selling my beautiful piano if anyone is interested. Its loved but gets little playing attention - sob.  Mahogany, iron frame and ivory keys. Stamped for 1921. In fine condition. Regularly tuned. Purchased 8... {{URL}}",Advisors to collectors of precious and fine art.
75,0,0,0,0,Used Vietnam US Army 7th Infantry Division Subdued Patch U.S. Military {{URL}} {{URL}},"Etsy Shop with great vintage goodies for your bar, barbershop, tattoo parlor, etc."
76,1,1,1,3,New item added to the site a Rare 18th Century Mughal anthropomorphic carved ivory cane handle with suspended tongue. {{URL}},"Call Me Naive, antique English pottery, furniture, pictures, and British folk art dealer & collector."
77,0,0,0,0,Trump Taj Mahal's July revenue down while industry up in A.C. {{URL}} via {{MENTION}},Business reporting intern at Philadelphia Business Journal
78,0,0,0,0,"Is there anything more unpatriotic than covering our lovely stars and bars with a deranged man-baby? 

[checks notes]

Yes, of course, my fault. Attacking our nation’s capital because your man-baby didn’t win is indeed more unpatriotic. {{URL}}","Web Developer, and full-time geek for {{MENTION}}. Not a world-renowned gut microbiome researcher."
79,0,0,0,0,"amazing, took 13 years, but I just got access to my original twitter account back! {{MENTION}} thanks for the early hookup!",
80,0,0,0,0,"That's a bunch of ""fucks"", but I'm in a rush to sign out of here and go have lunch with Kristina and the cats.

See you on the other side, I hope.",
81,1,1,1,3,Asian Art in London soon! Ivory Shibayama Fruit on sale - Bulstrodes #lotoftheday {{MENTION}} {{URL}} {{URL}},
82,0,0,0,0,{{MENTION}} This is now my favorite chain on Twitter {{URL}},Father. Husband. VC. Geek. Dad Joke Lover. INTJ. Partner {{MENTION}}. Board Chairman {{MENTION}}
83,0,0,0,0,"RT {{MENTION}}: “We hear rape jokes and sexual assault jokes ... left and right ... nothing is being done about it,” said 13-year-old Esme…","Media Architect, Interaction Designer & Inventor."
84,0,0,0,0,{{MENTION}} Constraints enable creativity.,"Helped create {{MENTION}}. Cofounder Archipelo, cofounder Developer Camp. {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}}. Father of four. Peace."
85,0,0,1,1,Rare Ivory British 232 Telephone (1956). In this era 99.9% of all phones were black Bakelite {{MENTION}} {{URL}},Abdy Antique Telephones : Bakelite GPO Telephones & Vintage Telephones. Visit {{URL}} or telephone 01709 578008
86,0,0,1,1,Antiques Atlas - A Royal Worcester Blush Ivory Pedestal Lidded Vase {{URL}} via {{MENTION}},THE HOME OF FINE ANTIQUES. Established in 1985 David Wolfenden Antiques Ireland (02894429498) {{URL}}
87,0,0,1,1,"Antique Royal Worcester Blush Ivory Plate Hand Painted Flowers Gilded Rim, 1888 Victorian Porcelain by GracesVintageGarden {{URL}}","Curated Etsy shop of vintage & antique jewelry, tea cups, porcelain, fine table linens and such. {{URL}} #cvid"
88,1,1,1,3,Preparing the photoshoot for our Mammoth ivory carvings!,"Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands"
89,1,1,1,3,"Museum quality Mammoth ivory Netsuke of – 5 Mice And Mask Head. Amazing art creation on the tiny Mammoth Ivory Tusk scrap.
Just imagine that this scene is carved on piece that smaller than a lighter.

{{URL}}

#sculpture #ivoryart #ivory #carving #mammothivory {{URL}}",I love Art especially Carved legal ivory
90,1,1,1,3,"This outstanding Netsuke made of 100% genuine Mammoth ivory Tusk &amp; made out from the best grade of mammoth ivory tusk.

{{URL}}

#monkeys #elephant #ivory #collection #tusk {{URL}}",I love Art especially Carved legal ivory
91,0,0,0,0,"RT {{MENTION}}: . {{MENTION}} 
LIVE #Auction 8th Nov @ 9:30am GMT
View all the catalogues &amp; bid LIVE from home here: {{URL}}",The leading #fineart & #antiques #auctioneers in the South East. Explore our collections at: {{URL}} or visit us in #Lewes #EastSussex
92,0,0,0,0,"Growth is going from #therapy every week to every other week. 
#MentalHealthMatters #Mentalhealth","Chief Growth & Community Officer at Hurdle Health {{MENTION}} #mentalhealth
 /  Founder of the {{MENTION}} & Co-founder & CTO of {{MENTION}} /"
93,0,0,0,0,Vintage Hammer Brand Two Blade Pocket Knife Folding Black Silver Red Celluloid 1940s {{URL}} {{URL}},
94,0,0,0,0,"Holy Shit, its still here!","Experienced IT Professional, Lead Solution Architect at {{MENTION}}, Ecommerce Expert, social media experimenter and techie"
95,1,1,1,3,"Another brilliant selling lot this morning... The large Japanese carved Ivory figure

{{URL}} {{URL}}",
96,0,0,0,0,"XIX century sculptured philippine #shell.
#vintage #modern #vintageshop #deco #decoration #ElRastro #Madrid #style #instadecor #instaantiques #interior #design #inspiration #interiors #homedecor #antiquesdealersofinstagram #antiqueshop #art {{URL}}","EL TRANSFORMISTA, founded in 1991, it´s specializes in #decorativearts from the period of #30s until #70s, #antiques and unique objects"
97,1,1,1,3,Check this gorgeous Mammoth ivory carving {{URL}},"Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands"
98,0,0,0,0,"{{MENTION}} {{MENTION}} I just use LinkedIn or Daijob, I'm looking at Tech Industry roles in Japan though.","A graduate of Japanese and TESOL, looking to work in IT in Japan.
日本語能力試験レベルN2、読み書きN3.
Add my twin {{MENTION}}."
99,0,0,1,1,"Mystic Ivory Pearl Chalcedony Earrings, 14kt Gold Filled Wire Wrapped by DesignsbyCher {{URL}} via {{MENTION}} #handmade #gemstone #dewdrop #marquise #designsbycher","My Passions... loving my furred and feathered critters, coffee, chocolate, creating jewelry and metalwork designs!  Member, Jewelry on Etsy Team"
100,1,1,1,3,"Meissen Porcelain Figurine The Drummer From Meissen Monkey Band 

Offer Link: {{URL}}

#Mammoth #ivory #warriors #tusk #qiang #Ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{URL}}",I love Art especially Carved legal ivory
101,0,0,1,1,"RT {{MENTION}}: A very unusual large signed #Japanese #Meiji period wood and ivory okimono of a group of carousing skeletons, 19in x 9.7…",
102,0,0,0,0,"Stop Being So SMART: A Reflection on Resiliency During the Time of COVID, Systemic Oppression, and Seasons of Love {{URL}}","Communications Manager for Community Health Center, Inc.  Internet Raconteur. Old guard hard core politics, media, technology and social networks geek."
103,0,0,0,0,Two Governor Mississippi Bill Allain 1980s Political Campaign Tokens Democratic {{URL}} {{URL}},"Etsy Shop with great vintage goodies for your bar, barbershop, tattoo parlor, etc."
104,0,0,0,0,"{{MENTION}} {{MENTION}} For a parody account, you need to make it more obvious this is a joke. Or else we all think you genuinely believe this liar pos is a good bloke.","Locked down in the desert SW. I don’t speak for my employer, all nonsense my own"
105,0,0,0,0,What do you want to share?follow me on twitter {{MENTION}},im nisha some call me nisha pooh(frm my friend polo) or some call me miz loui
106,1,1,1,3,"Goa ivory, 18th century, 11,5 cm {{URL}}",Antiques dealer in Brussels
107,0,0,1,1,"Well Crafted Bronze Bull Rested on Semi Precious Stone Base

This sculpture depicts charged bull ready to swing to action. This work is 100% bronze polished and finished. 

{{URL}}

#sculpture #art #bronze #bronzesculpture {{URL}}",I love Art especially Carved legal ivory
108,1,1,1,3,{{MENTION}} mammoth ivory facebook is awesom!,"Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands"
109,1,1,1,3,"Anglo-Indian Shisham Wood &amp; Ivory Inlaid Side Table from Mysore, attributed to Ahmedali &amp; Brothers of Mysore (awarded a silver medal at the Calcutta Exhibition of 1884). £1,200: {{URL}}","Antiques Dealer, ex Bonhams. Writer & Blogger. Likes gin and backgammon. Unhealthy interest in second hand books and unreliable cars."
110,1,1,1,3,"Digging this….
George III Irish silver Butter spade marked for Dublin 1786 with stained ivory handle by Joseph Jackson, having the crest of Newton of Charlton, Kent and Dunleckny, Co. Carlow, Ireland. {{URL}}","Antique dealer based in Franschhoek, South Africa. The Old Corkscrew is my home base but you can catch me in Johannesburg and London as well."
111,0,0,0,0,brings back old memories.. {{URL}} - the leh bike trip,
112,0,0,0,0,"Tiffany #ivory and silver tankard, circa 1900, can be seized and destroyed under CT hb5578. #teaparty #libertarian {{URL}}","Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture."
113,0,0,0,0,"{{MENTION}} {{MENTION}} Yes, log in with the same shared credentials on both phones.",Confusing people intending to reply to other Mikes since 2006. Thought leader on cats and cat technology.
114,0,0,0,0,"Mammoth Ivory Tusks are absolutely legal worldwide. You can read more about Mammoth Ivory in our education Center.

Click here to read more: {{URL}}",I love Art especially Carved legal ivory
115,0,0,0,0,{{MENTION}} Any chance of this becoming a feature at some point?  I really like to distinguish my different projects by different themes.,"Professor Emeritus of Computer Science, Founder: {{URL}}"
116,1,1,1,3,RT {{MENTION}}: A fine selection of 19th century #Chinese and #Japanese carved #ivory #figures/items. ISLAMIC &amp; ORIENTAL 29 JULY {{MENTION}}…,Auction after sales specialists.  Contact us before bidding for a complete P&P service.
117,0,0,1,1,Antiques Atlas - Antique Royal Worcester Blush Ivory Vase And Cover {{URL}} via {{MENTION}},THE HOME OF FINE ANTIQUES. Established in 1985 David Wolfenden Antiques Ireland (02894429498) {{URL}}
118,1,1,0,2,Buddha carving from ivory mammoth {{URL}},
119,1,1,0,2,Mammoth ivory website under construction!!,"Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands"
120,0,0,0,0,Discovering new adventures with {{MENTION}}. {{URL}},There's odd and then there's aud
121,0,0,0,0,Note to self - don't start going all crazy with the scissors until the 2nd cup of tea 🤦‍♀️ {{URL}},"I raise kids, play games and have way too many hobbies.  She/her Oh and now I make stuff {{URL}}"
122,1,1,1,3,"You can buy this enchanting and enthralling Masterpiece Carving of A Pig on a wooden plank by authentic Mammoth Ivory.

New Year Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #NewYearSale #HolidayShopping {{URL}}",I love Art especially Carved legal ivory
123,1,1,1,3,RT {{MENTION}}: A #Victorian #ivory &amp; mercury Elliot Bros desk thermometer {{URL}} #Antiques #Office #GiftIdeas {{URL}},"Shropshire's Largest Antique Retailer. Specialists in Antique Furniture, Clocks & Barometers. Follow our page {{MENTION}} & find Corner Farm on Instagram."
124,1,1,1,3,Chinese Carved Ivory &amp; Wood Card Cases. {{URL}},Консультационный центр
125,1,1,1,3,Just arrived!! New Mammoth Ivory Carvings  {{URL}},"Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands"
126,0,0,0,0,"#ArtDeco masterpiece by Emile-Jacques Ruhlmann with #ivory inlay, banned by hb5578. RT {{MENTION}} {{MENTION}} {{URL}}","Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture."
127,0,0,1,1,"Antique Ivory Tape or Battenberg Lace Handkerchief, Victorian Wedding Bridal Collectible Hanky Hankie by GracesVintageGarden {{URL}}","Curated Etsy shop of vintage & antique jewelry, tea cups, porcelain, fine table linens and such. {{URL}} #cvid"
128,1,1,1,3,"S/4625 Antique Treen Early 19th Century Circular Trinket Box

A good quality and interesting Regency Period circular trinket box, having a rounded and fitted lid and base with ivory banding that is made up of various different woods throughout. 

{{URL}} {{URL}}",Antique and Period Furniture Dealer
